2019-11-22 11:24:13 status half-configured libgdbm6:amd64 1.18.1-4
2019-11-22 11:24:13 status installed libgdbm6:amd64 1.18.1-4
2019-11-22 11:24:13 configure mc:amd64 3:4.8.22-1 <none>
2019-11-22 11:24:13 status unpacked mc:amd64 3:4.8.22-1
2019-11-22 11:24:13 status half-configured mc:amd64 3:4.8.22-1
2019-11-22 11:24:13 status installed mc:amd64 3:4.8.22-1
2019-11-22 11:24:13 configure libgdbm-compat4:amd64 1.18.1-4 <none>
2019-11-22 11:24:13 status unpacked libgdbm-compat4:amd64 1.18.1-4
2019-11-22 11:24:13 status half-configured libgdbm-compat4:amd64 1.18.1-4
2019-11-22 11:24:13 status installed libgdbm-compat4:amd64 1.18.1-4
2019-11-22 11:24:13 configure libperl5.28:amd64 5.28.1-6 <none>
2019-11-22 11:24:13 status unpacked libperl5.28:amd64 5.28.1-6
2019-11-22 11:24:13 status half-configured libperl5.28:amd64 5.28.1-6
2019-11-22 11:24:13 status installed libperl5.28:amd64 5.28.1-6
2019-11-22 11:24:13 configure perl:amd64 5.28.1-6 <none>
2019-11-22 11:24:13 status unpacked perl:amd64 5.28.1-6
2019-11-22 11:24:13 status half-configured perl:amd64 5.28.1-6
2019-11-22 11:24:13 status installed perl:amd64 5.28.1-6
2019-11-22 11:24:13 trigproc libc-bin:amd64 2.28-10 <none>
2019-11-22 11:24:13 status half-configured libc-bin:amd64 2.28-10
2019-11-22 11:24:13 status installed libc-bin:amd64 2.28-10
2019-11-22 11:28:21 startup archives unpack
2019-11-22 11:28:21 install perl-modules-5.28:all <none> 5.28.1-6
2019-11-22 11:28:21 status half-installed perl-modules-5.28:all 5.28.1-6
2019-11-22 11:28:22 status unpacked perl-modules-5.28:all 5.28.1-6
2019-11-22 11:28:22 install libgdbm6:amd64 <none> 1.18.1-4
2019-11-22 11:28:22 status triggers-pending libc-bin:amd64 2.28-10
2019-11-22 11:28:22 status half-installed libgdbm6:amd64 1.18.1-4
2019-11-22 11:28:22 status unpacked libgdbm6:amd64 1.18.1-4
2019-11-22 11:28:22 install libgdbm-compat4:amd64 <none> 1.18.1-4
2019-11-22 11:28:22 status half-installed libgdbm-compat4:amd64 1.18.1-4
2019-11-22 11:28:22 status unpacked libgdbm-compat4:amd64 1.18.1-4
2019-11-22 11:28:22 install libperl5.28:amd64 <none> 5.28.1-6
2019-11-22 11:28:22 status half-installed libperl5.28:amd64 5.28.1-6
2019-11-22 11:28:23 status unpacked libperl5.28:amd64 5.28.1-6
2019-11-22 11:28:23 install perl:amd64 <none> 5.28.1-6
2019-11-22 11:28:23 status half-installed perl:amd64 5.28.1-6
2019-11-22 11:28:23 status unpacked perl:amd64 5.28.1-6
